country,name,longName,foundingDate,population,capital,largestCity,area
312,Basque Country,Basque Country,,3000000,Vitoria-Gasteiz,Bilbao,20947km
323,,,5/14/1997,1465236000,,,3499559km
324,,,1/31/2015,1465236000,,,3499559km
327,Belarus,Republic of Belarus,7/27/1990,9498700,Minsk,,80155mi
328,Belarus,Republic of Belarus,8/25/1991,9498700,Minsk,,80155mi
334,Belgium,Kingdom of Belgium,1830-10-04,,City of Brussels,,11787mi
335,Belgium,Kingdom of Belgium,1839-04-19,,City of Brussels,,11787mi
337,Belize,Belize,9/21/1981,347369,Belmopan,Belize City,8867mi
341,Benin,Republic of Benin,8/1/1960,10879829,Porto-Novo,Cotonou,114763km
348,Bermuda,Bermuda,,,"Hamilton, Bermuda",,20.6mi
360,Bhutan,Kingdom of Bhutan,12/17/1907,742737,Thimphu,,14824mi
361,Bhutan,Kingdom of Bhutan,8/8/1949,742737,Thimphu,,14824mi
406,Bolivia,Plurinational State of Bolivia,1825-08-06,11410651,Sucre,Santa Cruz de la Sierra,424163mi
407,Bolivia,Plurinational State of Bolivia,1847-07-21,11410651,Sucre,Santa Cruz de la Sierra,424163mi
413,Bosnia and Herzegovina,Bosnia and Herzegovina,3/1/1992,,Sarajevo,,19741mi
415,Botswana,Republic of Botswana,9/30/1966,2155784,Gaborone,,224610mi
417,Bouvet Island,Bouvet Island,1/23/1928,,,,49km
418,Bouvet Island,Bouvet Island,12/1/1927,,,,49km
423,Brazil,Federative Republic of Brazil,1822-09-07,205338000,Brasília,São Paulo,3287597mi
424,Brazil,Federative Republic of Brazil,1825-08-29,205338000,Brasília,São Paulo,3287597mi
430,the British Antarctic Territory,British Antarctic Territory,,250,London,,660000mi
431,the British Antarctic Territory,British Antarctic Territory,,250,Rothera Research Station,,660000mi
445,British Indian Ocean Territory,British Indian Ocean Territory,,3000,,,21004mi
457,,,,250000,,,1727570km
464,British Virgin Islands,Virgin Islands,,,Road Town,,59mi
469,Brunei,"Nation of Brunei, Abode of Peace",,415717,Bandar Seri Begawan,Bandar Seri Begawan,2226mi
477,Bulgaria,Republic of Bulgaria,,,Sofia,,42823mi
485,Bunyoro,Bunyoro-Kitara Kingdom,,1400000,Hoima,Masindi,3241mi
486,,,,27000000,,Accra,238535km
492,,Burkina Faso,,17322796,Ouagadougou,,105869mi
494,Burundi,Republic of Burundi,7/1/1962,11178921,Bujumbura,,27834km
520,,,4/21/1907,50000,,São Gabriel da Cachoeira,160000km
521,,,11/15/1928,50000,,São Gabriel da Cachoeira,160000km
527,Cambodia,Kingdom of Cambodia,,15458332,Phnom Penh,,69898mi
